idpunto;idce;SPcod;ETAce;DEcod;FEha;Dce;Hce;Vce;Wce
144502;15;49;1;1;18.84445784;16;0.02;0.000402124;0.000184766
144502;16;49;1;1;18.84445784;19.5;0.03;0.000895943;0.000411664
144502;17;49;1;1;18.84445784;15.5;0.025;0.00047173;0.000216749
144502;18;49;1;1;18.84445784;18;0.02;0.000508938;0.000233845
144502;19;49;2;2;18.84445784;11;0.08;0.000760265;0.000342798
144502;20;49;2;2;18.84445784;15;0.025;0.000441786;0.000199198
220506;6;280;2;4;18.84445784;22.5;0.05;0.001988039;0.000815953
22725;5;10;2;5;18.84445784;18;0.28;0.007125132;0.001932255
161027;1;300;2;2;18.84445784;21;0.04;0.001385442;0.000684804
161027;2;300;2;4;18.84445784;38;0.11;0.012475264;0.005120239
161027;3;300;2;3;18.84445784;20.5;0.05;0.001650318;0.000742563
161027;4;300;2;3;18.84445784;20;0.045;0.001413717;0.000636104
161027;5;300;2;3;18.84445784;14.5;0.05;0.00082565;0.000371502
161027;6;300;2;3;18.84445784;33.5;0.06;0.005288479;0.002379559
161027;7;300;2;3;18.84445784;20.5;0.065;0.002145413;0.000965332
161027;8;300;2;3;18.84445784;19.5;0.04;0.001194591;0.000537508
161027;9;300;2;3;18.84445784;28;0.03;0.001847256;0.000831176
161027;10;300;2;3;18.84445784;36.5;0.06;0.00627808;0.002824832
161027;11;300;2;3;18.84445784;37;0.05;0.00537605;0.002418962
161027;12;300;2;3;18.84445784;34.5;0.065;0.006076331;0.002734054
161027;13;300;2;4;18.84445784;32.5;0.065;0.005392249;0.002213148
161027;14;301;2;3;18.84445784;31;0.05;0.003773838;0.001698044
161027;15;300;2;3;18.84445784;25;0.07;0.003436117;0.001546086
161027;16;300;2;3;18.84445784;30.5;0.07;0.005114316;0.002301194
161027;17;300;2;2;18.84445784;34;0.06;0.005447522;0.002692632
161033;1;352;2;3;18.84445784;19.5;0.035;0.001045267;0.000470319
161033;2;352;2;3;18.84445784;18;0.01;0.000254469;0.000114499
161033;3;352;2;3;18.84445784;17.5;0.015;0.000360792;0.000162339
161033;4;352;2;3;18.84445784;18;0.035;0.000890642;0.000400745
161033;5;352;2;3;18.84445784;19;0.03;0.000850586;0.000382723
161033;6;352;2;3;18.84445784;15;0.045;0.000795216;0.000357808
161033;7;300;2;3;18.84445784;29.5;0.025;0.001708732;0.000768846
161033;8;300;2;3;18.84445784;30;0.025;0.001767146;0.00079513
161033;9;300;2;3;18.84445784;16;0.03;0.000603186;0.000271404
161033;10;300;2;3;18.84445784;14;0.015;0.000230907;0.000103897
161033;11;300;2;3;18.84445784;17.5;0.055;0.001322905;0.000595243
161033;12;308;2;3;18.84445784;15.5;0.025;0.00047173;0.000212256
161033;13;308;2;3;18.84445784;23;0.04;0.001661903;0.000747775
161033;14;300;2;3;18.84445784;16;0.025;0.000502655;0.00022617
33188;1;20;2;5;18.84445784;24.5;0.275;0.012964469;0.003515818
33188;2;20;2;5;18.84445784;11.5;0.355;0.003687346;0.000999967
33188;3;20;2;4;18.84445784;14.5;0.65;0.010733448;0.003700248
32221;1;80;2;4;18.84445784;50.5;0.515;0.103152526;0.035560793
32221;2;80;2;5;18.84445784;37;0.145;0.015590546;0.00422798
32221;3;120;2;4;18.84445784;37.5;0.245;0.027059421;0.009328462
32221;4;120;2;4;18.84445784;24;0.18;0.008143008;0.00280722
32221;5;120;2;5;18.84445784;29.5;0.615;0.042034804;0.011399365
32221;6;120;2;4;18.84445784;33.5;0.28;0.024679566;0.008508032
20932;1;80;2;3;18.84445784;14.5;0.31;0.005119029;0.002032136
20932;2;80;2;2;18.84445784;60;0.31;0.087650435;0.03952097
20932;3;80;2;2;18.84445784;47.5;0.24;0.042529311;0.01917617
122791;1;280;2;1;199.044586;33.5;0.055;0.004847772;0.002478855
122791;2;280;2;1;199.044586;34.5;0.065;0.006076331;0.003107065
118927;2;260;2;3;18.84445784;15;0.1;0.001767146;0.00079513
118927;5;260;2;2;18.84445784;11;0.12;0.001140398;0.000563683
118927;7;260;2;2;18.84445784;14;0.2;0.003078761;0.001521787
