fdname;fdcod;fddesc1;fddesc1_lat;fddesc2;fddesc2_en
SPcod;308;roverella;Quercus pubescens;albero;tree
SPcod;654;rovo;Rubus sp.;arbusto;shrub
SPcod;521;sabina;Juniperus sabina;arbusto;shrub
SPcod;451;salice bianco;Salix alba;albero;tree
SPcod;450;salici arborei (altre sp.);Salix sp.;albero;tree
SPcod;455;salici arbustivi;Salix sp.;arbusto;shrub
SPcod;452;salicone;Salix caprea;albero;tree
SPcod;657;salvione;Phlomis sp.;arbusto;shrub
SPcod;660;sambuco comune;Sambucus nigra;arbusto;shrub
SPcod;661;sambuco rosso;Sambucus racemosa;arbusto;shrub
SPcod;665;scotano;Cotinus coggygria;arbusto;shrub
SPcod;95;sequoia;Sequoia sempervirens;albero;tree
SPcod;666;serenella;Syringa vulgaris;arbusto;shrub
SPcod;667;sommacco;Rhus sp.;arbusto;shrub
SPcod;325;sorbo alpino;Sorbus chamaemespilus;arbusto;shrub
SPcod;321;sorbo degli uccellatori;Sorbus aucuparia;albero;tree
SPcod;322;sorbo domestico;Sorbus domestica;albero;tree
SPcod;324;sorbo farinaccio (arboreo);Sorbus aria;albero;tree
SPcod;323;sorbo farinaccio (arbustivo);Sorbus aria;arbusto;shrub
SPcod;319;sorbo (altre sp.);Sorbus sp.;albero;tree
SPcod;725;sparzio;Calicotome sp.;arbusto;shrub
SPcod;726;spazzaforno;Thymelaea sp.;arbusto;shrub
SPcod;669;spinaporci;Sarcopoterium spinosum;arbusto;shrub
SPcod;668;spina santa comune;Lycium europaeum;arbusto;shrub
SPcod;670;spino di Giuda;Gleditsia triacanthos;arbusto;shrub
SPcod;646;spino cervino;Rhamnus catharticus;arbusto;shrub
SPcod;675;stafilea;Staphylea pinnata;arbusto;shrub
SPcod;678;storace;Styrax officinalis;arbusto;shrub
SPcod;676;stracciabrache;Smilax aspera;arbusto;shrub
SPcod;677;stregonia;Sideritis sp.;arbusto;shrub
SPcod;313;sughera;Quercus suber;albero;tree
SPcod;781;tamerice (arboreo);Tamarix sp.;albero;tree
SPcod;780;tamerice (arbustivo);Tamarix sp.;arbusto;shrub
SPcod;778;tamerice alpino;Myricaria germanica;arbusto;shrub
SPcod;100;tasso;Taxus baccata;albero;tree
SPcod;680;terebinto;Pistacia terebinthus;arbusto;shrub
SPcod;784;teucrio;Teucrium sp.;arbusto;shrub
SPcod;786;the siciliano;Prasium majus;arbusto;shrub
SPcod;462;tiglio nostrano;Tilia platyphyllos;albero;tree
SPcod;461;tiglio selvatico;Tilia cordata;albero;tree
SPcod;460;tiglio (altre sp.);Tilia sp.;albero;tree
SPcod;787;timelea;Cneorum tricoccon;arbusto;shrub
SPcod;103;tsuga;Tsuga sp.;albero;tree
SPcod;642;vulneraria;Anthyllis barba-jovis;arbusto;shrub
SPcod;110;altra conifera;;albero;tree
SPcod;120;conifera ignota;;albero;tree
SPcod;500;altra latifoglia arborea;;albero;tree
SPcod;510;latifoglia ignota;;albero;tree
SPcod;800;altra specie arbustiva;;arbusto;shrub
SPcod;810;specie arbustiva ignota;;arbusto;shrub
