idpunto;LAT_ND_W84;LON_ND_W84;NORD_ND_GB;EST_ND_GB;FUSO;codISTAT05;nomedist05;codcfor;Napv_ha;Gapv_ha;Vapv_ha;W1apv_ha;W2apv_ha;W3apv_ha;W4apv_ha;Capv_ha;Napm_ha;Gapm_ha;Vapm_ha;Wapm_ha;Capm_ha;ICVapv_ha;ICWapv_ha;ICCapv_ha;Nce_ha;Vce_ha;Wce_ha;Cce_ha;Vne_ha;Wne_ha;Cne_ha;Nrin1_ha;Wrin1_ha;Crin1_ha;Nrin2_ha;Wrin2_ha;Crin2_ha;Nrin3_ha;Wrin3_ha;Crin3_ha;Warb1_ha;Carb1_ha;Warb2_ha;Carb2_ha;Warb3_ha;Carb3_ha;Vut_ha;Wut_ha;Cut_ha
135957;43.46374009;11.51298676;4815397;1703316;Ovest;009;Toscana;11;1598.245581;14.8196431;78.50462009;36.51634887;14.59649164;1.408435567;52.52127607;26.26063804;18.84445784;0.333009058;1.845513525;0.809383377;0.404691689;3.211336843;2.081764335;1.040882168;0;0;0;0;0;0;0;13528.17016;0.443264024;0.221632012;4774.648293;1.583263825;0.791631912;1591.549431;3.428404376;1.714202188;0;0;0;0;0;0;0;0;0
135981;43.46374009;11.80955743;4816165;1727309;Ovest;009;Toscana;14;508.8003618;7.793891999;42.09904127;21.97581589;10.6725059;0.666909154;33.31523094;16.65761547;0;0;0;0;0;2.888099498;2.147107822;1.073553911;0;0;0;0;1.534801748;0.681962095;0.340981047;0;0;0;0;0;0;0;0;0;0;0;1.131827;0.5659135;0;0;0;0;0
136028;43.46374009;12.39034167;4815637;2308898;Est;010;Umbria;10;1160.111936;15.17716533;93.27959253;60.59197001;14.94168447;1.829476366;77.36313084;38.68156542;0;0;0;0;0;3.502620946;2.861649799;1.4308249;188.4445784;0.397712718;0.153210898;0.076605449;0;0;0;25464.79089;0.834379338;0.417189669;0;0;0;0;0;0;0.141401209;0.070700605;0.193895284;0.096947642;0;0;0;0;0
136043;43.46374009;12.57569834;4815184;2323894;Est;011;Marche;10;877.4450684;12.84045927;79.90747;49.78399067;12.91455431;1.456791084;64.15533606;32.07766803;0;0;0;0;0;3.180946834;2.59884127;1.299420635;18.84445784;0.029970815;0.012300961;0.00615048;0;0;0;19098.59317;0.625784504;0.312892252;53316.90594;17.67977937;8.839889687;1591.549431;3.428404376;1.714202188;0.164968077;0.082484039;2.132848125;1.066424062;0;0;0;0;0
136111;43.46374009;13.41598191;4813548;2391871;Est;011;Marche;10;358.0446991;28.99842878;288.392743;192.8243568;35.30290246;5.134219723;233.261479;116.6307395;18.84445784;0.290087891;2.052587422;1.079240481;0.539620241;2.298983606;1.878275177;0.939137588;0;0;0;0;0.191122532;0.084921927;0.042460964;795.7747155;0.026074354;0.013037177;0;0;0;0;0;0;2.133269969;1.066634984;3.490115113;1.745057557;3.197882765;1.598941382;0;0;0
136131;43.45473932;10.37644043;4812250;1611389;Ovest;009;Toscana;6;3613.424792;31.24818247;123.6329035;74.74712946;23.97616425;1.361512978;100.0848067;50.04240334;18.84445784;0.23125629;0.23125629;0.088859238;0.044429619;0.280498001;0.166486351;0.083243176;0;0;0;0;0;0;0;4774.648293;0.156446126;0.078223063;1591.549431;0.527754608;0.263877304;795.7747155;1.714202188;0.857101094;0.164968077;0.082484039;4.459591534;2.229795767;4.796824147;2.398412073;0;0;0
136172;43.45473932;10.88300685;4813052;1652375;Ovest;009;Toscana;15;1194.267516;3.267281372;7.887945126;4.509017907;4.767057277;0.018050971;9.294126155;4.647063078;0;0;0;0;0;0.344937474;0.330802068;0.165401034;0;0;0;0;0;0;0;0;0;0;0;0;0;3183.098862;6.856808751;3.428404376;1.287691473;0.643845736;4.873355409;2.436677704;25.58306212;12.79153106;0;0;0
136225;43.45473932;11.53783661;4814459;1705357;Ovest;009;Toscana;14;1275.53424;11.27688924;56.28431471;33.05513455;18.59384225;0.99796918;52.64694598;26.32347299;199.044586;0.562785308;1.83747151;0.960567876;0.480283938;1.5626691;1.161739424;0.580869712;0;0;0;0;0;0;0;0;0;0;0;0;0;795.7747155;1.714202188;0.857101094;0.141401209;0.070700605;4.428046829;2.214023415;3.197882765;1.598941382;0;0;0
136238;43.45473932;11.69845523;4814868;1718353;Ovest;009;Toscana;10;131.9112049;3.168766193;18.60306908;11.71040147;4.155009734;0.273804514;16.13921572;8.06960786;0;0;0;0;0;0.63939016;0.52238331;0.261191655;0;0;0;0;0;0;0;12732.39545;0.417189669;0.208594835;8753.52187;2.902650345;1.451325173;0;0;0;1.602547037;0.801273519;2.326743409;1.163371704;0;0;0;0;0
136243;43.45473932;11.76023162;4815032;1723352;Ovest;009;Toscana;9;226.1334941;4.026819532;14.76301015;9.597560963;4.158778377;0.189746101;13.94608544;6.973042721;0;0;0;0;0;0.513723124;0.430547294;0.215273647;0;0;0;0;0;0;0;795.7747155;0.026074354;0.013037177;795.7747155;0.263877304;0.131938652;12732.39545;27.42723501;13.7136175;0.400636759;0.20031838;0.775581136;0.387790568;0;0;0;0;0
