idpunto;idapm;SPcod;VITcod;DEcod;FEha;Dapm;Hapm;Gapm;Vapm;W4apm
40358;29;280;6;1;18.84445784;18;16.20036643;0.0254469;0.203114444;0.106181353
40358;30;280;6;1;18.84445784;17;15.84086716;0.022698007;0.177865535;0.092982078
40358;31;402;6;1;18.84445784;13.5;13.56402486;0.014313882;0.098245496;0.051359418
36327;2;352;6;1;199.044586;6;8.731392155;0.002827433;0.012181454;0.006368052
36327;16;49;6;1;18.84445784;25;17.40743001;0.049087385;0.415142686;0.183854389
97543;5;440;6;1;199.044586;6;7.13845657;0.002827433;0.008276314;0.004326577
99681;1;440;6;1;199.044586;8;10.02063919;0.005026548;0.022829947;0.011934723
99681;2;440;6;1;18.84445784;12;12.91808978;0.011309734;0.068650399;0.035888103
99681;12;280;6;1;199.044586;5;7.589755783;0.001963495;0.00865255;0.00452326
99681;16;51;6;1;18.84445784;10;8.786399174;0.007853982;0.038289559;0.016957311
99681;51;280;6;3;18.84445784;12;12.49374489;0.011309734;0.072645273;0.03731826
278229;1;351;6;3;18.84445784;11.5;5.336539074;0.010386891;0.027489388;0.014121444
278229;5;351;6;4;18.84445784;15.5;5.80569501;0.018869191;0.054437183;0.023874413
278229;6;351;6;4;18.84445784;14;5.641544843;0.015393804;0.043132021;0.018916329
85369;24;440;6;1;18.84445784;12.5;12.14612337;0.012271846;0.070118698;0.03665568
85369;27;440;6;1;18.84445784;10;9.162964478;0.007853982;0.033323774;0.01742054
85369;32;440;6;1;18.84445784;14.5;14.40262401;0.016512996;0.112365474;0.058740864
85369;33;440;6;1;18.84445784;14.5;14.40262401;0.016512996;0.112365474;0.058740864
85369;43;440;6;3;18.84445784;14.5;14.40262401;0.016512996;0.112365474;0.057722737
85369;44;440;6;1;18.84445784;10.5;9.76936762;0.008659015;0.039363751;0.020578036
85369;46;440;6;2;18.84445784;12.5;12.14612337;0.012271846;0.070118698;0.03686807
208829;2;308;6;1;199.044586;6;4.262491995;0.002827433;0.00530483;0.002773186
275151;7;280;6;1;199.044586;6;8.420081527;0.002827433;0.013538267;0.007077348
275151;11;280;6;1;199.044586;6;8.420081527;0.002827433;0.013538267;0.007077348
275151;13;280;6;1;18.84445784;11.5;13.5178328;0.010386891;0.071857815;0.037564832
217376;21;201;6;2;18.84445784;10.5;10.33501349;0.008659015;0.043943035;0.023105034
275026;40;280;6;3;18.84445784;12.5;13.9934799;0.012271846;0.087166342;0.04477781
275026;50;280;6;2;18.84445784;12;13.6923955;0.011309734;0.078949523;0.041511275
275026;53;280;6;2;18.84445784;11;13.05038826;0.009503318;0.063865248;0.033580037
275026;59;280;6;4;18.84445784;11;13.05038826;0.009503318;0.063865248;0.028009261
275026;67;280;6;3;18.84445784;11;13.05038826;0.009503318;0.063865248;0.032807915
275026;69;280;6;5;18.84445784;11;13.05038826;0.009503318;0.063865248;0.028009261
275026;71;280;6;5;18.84445784;13.5;14.55873806;0.014313882;0.104962188;0.046033068
275026;72;280;6;2;18.84445784;14;14.82399116;0.015393804;0.114544858;0.060227129
275026;73;280;6;2;18.84445784;19;16.94754806;0.028352874;0.235603799;0.123879331
275026;76;280;6;5;18.84445784;10.5;12.70819163;0.008659015;0.056990957;0.024994416
275026;78;280;6;3;18.84445784;10;12.3509529;0.007853982;0.050556269;0.025971022
275026;82;280;6;3;18.84445784;11;13.05038826;0.009503318;0.063865248;0.032807915
275026;83;280;6;2;18.84445784;12;13.6923955;0.011309734;0.078949523;0.041511275
275026;86;280;6;2;18.84445784;10;12.3509529;0.007853982;0.050556269;0.026582241
275026;88;280;6;4;18.84445784;15.5;15.55616001;0.018869191;0.146044893;0.064050633
184581;8;330;6;1;199.044586;5;6.557184266;0.001963495;0.007199025;0.003763407
184581;14;330;6;1;199.044586;6;7.609267185;0.002827433;0.011485331;0.006004142
184581;34;330;6;2;18.84445784;10;11.17949965;0.007853982;0.044372428;0.023330807
185899;19;260;6;1;199.044586;6;7.729031115;0.002827433;0.009305424;0.00486456
103640;6;280;6;1;18.84445784;31.5;19.36314433;0.077931133;0.723194393;0.378061536
103640;17;280;6;1;18.84445784;13.5;14.46374877;0.014313882;0.104329892;0.054540134
103640;20;280;6;1;18.84445784;11;12.98789686;0.009503318;0.063589073;0.033242214
103640;23;280;6;1;18.84445784;13.5;14.46374877;0.014313882;0.104329892;0.054540134
103640;24;280;6;1;18.84445784;12;13.61680388;0.011309734;0.078551952;0.0410643
103640;25;280;6;1;18.84445784;16;15.65444135;0.020106193;0.156284896;0.081700451
103640;26;280;6;1;18.84445784;10;12.30158359;0.007853982;0.050375953;0.026334842
103640;27;280;6;1;18.84445784;14.5;14.97068869;0.016512996;0.123759102;0.064697067
103640;28;280;6;3;18.84445784;12.5;13.91137836;0.012271846;0.086697799;0.044537117
103640;33;280;6;1;18.84445784;13.5;14.46374877;0.014313882;0.104329892;0.054540134
103640;35;280;6;4;18.84445784;10;12.30158359;0.007853982;0.050375953;0.022093286
103640;36;280;6;4;18.84445784;10.5;12.65226574;0.008659015;0.056765756;0.02489565
103640;38;280;6;4;18.84445784;11;12.98789686;0.009503318;0.063589073;0.02788814
44002;6;308;6;3;18.84445784;22;15.20408992;0.038013271;0.32631523;0.167629856
136111;6;300;6;2;18.84445784;14;14.59986049;0.015393804;0.108922604;0.057270975
101901;2;280;6;1;199.044586;5;7.347805179;0.001963495;0.008431625;0.004407768
101901;14;440;6;1;18.84445784;13.5;13.0786238;0.014313882;0.088294054;0.046157141
101901;17;352;6;2;18.84445784;18;12.69682481;0.0254469;0.160769998;0.084532083
101901;41;260;6;1;18.84445784;17;13.16426831;0.022698007;0.146221821;0.076439816
130861;10;351;6;1;18.84445784;10.5;10.02998343;0.008659015;0.04313448;0.022549245
130861;19;390;6;2;18.84445784;15.5;11.8883204;0.018869191;0.097406729;0.051215984
130861;24;390;6;3;18.84445784;17;12.52054374;0.022698007;0.121806342;0.062572561
130861;25;390;6;3;18.84445784;17.5;12.72063845;0.024052819;0.130664226;0.067122903
130861;28;390;6;3;18.84445784;15;11.6663461;0.017671459;0.089988173;0.046227399
130861;29;390;6;3;18.84445784;14.5;11.43843919;0.016512996;0.082921341;0.04259713
130861;30;390;6;3;18.84445784;17;12.52054374;0.022698007;0.121806342;0.062572561
130861;31;390;6;3;18.84445784;17;12.52054374;0.022698007;0.121806342;0.062572561
130861;32;390;6;3;18.84445784;14.5;11.43843919;0.016512996;0.082921341;0.04259713
130861;33;390;6;3;18.84445784;16;12.10455645;0.020106193;0.105180489;0.054031772
126445;7;280;6;3;18.84445784;24.5;11.70014423;0.047143525;0.272751708;0.140113992
126445;9;280;6;3;18.84445784;10;9.132640091;0.007853982;0.038801704;0.01993264
239244;38;424;6;2;18.84445784;14;13.59928828;0.015393804;0.09088436;0.047786554
148077;31;524;6;1;18.84445784;20;5.7842;0.031415927;0.095038527;0.042089746
128836;22;308;6;2;18.84445784;12.5;9.959626039;0.012271846;0.066261052;0.034839739
127375;2;49;6;1;18.84445784;21.5;18.9552951;0.03630503;0.334133723;0.147977921
127375;6;49;6;1;18.84445784;19;17.58957738;0.028352874;0.246176816;0.109024414
127375;8;49;6;1;18.84445784;25;20.53929001;0.049087385;0.48061422;0.212849791
127375;16;49;6;1;18.84445784;21;18.69890178;0.034636059;0.315424512;0.139692166
127375;26;49;6;1;18.84445784;24;20.12230268;0.045238934;0.436008793;0.19309537
127375;48;49;6;1;18.84445784;16;15.65034937;0.020106193;0.159070059;0.070447414
127375;66;49;6;1;18.84445784;19.5;17.87990656;0.029864765;0.262649278;0.116319579
127375;69;49;6;1;18.84445784;19;17.58957738;0.028352874;0.246176816;0.109024414
